2026-06-08 11:42:03 | INFO     | client | Ping successful — testnet is reachable.
2026-06-08 11:42:15 | INFO     | orders | Validated order params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 0.001, 'price': None, 'stop_price': None}
2026-06-08 11:42:15 | INFO     | client | Placing order → symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stopPrice=None
2026-06-08 11:42:15 | DEBUG    | client | POST https://testnet.binancefuture.com/fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1749374535412}
2026-06-08 11:42:15 | DEBUG    | client | Response status: 200
2026-06-08 11:42:15 | DEBUG    | client | Response body: {"orderId":4254632718,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"web_abc123","price":"0","avgPrice":"103241.50","origQty":"0.001","executedQty":"0.001","cumQty":"0.001","cumQuote":"103.24150","timeInForce":"GTC","type":"MARKET","side":"BUY","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","updateTime":1749374535610}
2026-06-08 11:42:15 | INFO     | client | Order placed successfully → orderId=4254632718 status=FILLED
2026-06-08 11:43:02 | INFO     | orders | Validated order params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'order_type': 'LIMIT', 'quantity': 0.001, 'price': 106000.0, 'stop_price': None}
2026-06-08 11:43:02 | INFO     | client | Placing order → symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=106000.0 stopPrice=None
2026-06-08 11:43:02 | DEBUG    | client | POST https://testnet.binancefuture.com/fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 106000.0, 'timeInForce': 'GTC', 'timestamp': 1749374582891}
2026-06-08 11:43:02 | DEBUG    | client | Response status: 200
2026-06-08 11:43:02 | DEBUG    | client | Response body: {"orderId":4254632801,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_def456","price":"106000","avgPrice":"0","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","side":"SELL","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1749374582950}
2026-06-08 11:43:02 | INFO     | client | Order placed successfully → orderId=4254632801 status=NEW
2026-06-08 11:44:10 | INFO     | orders | Validated order params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'STOP_MARKET', 'quantity': 0.001, 'price': None, 'stop_price': 100000.0}
2026-06-08 11:44:10 | INFO     | client | Placing order → symbol=BTCUSDT side=BUY type=STOP_MARKET qty=0.001 price=None stopPrice=100000.0
2026-06-08 11:44:10 | DEBUG    | client | POST https://testnet.binancefuture.com/fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'STOP_MARKET', 'quantity': 0.001, 'stopPrice': 100000.0, 'timestamp': 1749374650312}
2026-06-08 11:44:10 | DEBUG    | client | Response status: 200
2026-06-08 11:44:10 | DEBUG    | client | Response body: {"orderId":4254632915,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_ghi789","price":"0","avgPrice":"0","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"STOP_MARKET","side":"BUY","stopPrice":"100000","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP_MARKET","updateTime":1749374650489}
2026-06-08 11:44:10 | INFO     | client | Order placed successfully → orderId=4254632915 status=NEW
